Date : 2025-12-22 23:49:52
Directory : c:\Users\HP\Desktop\doxa-intelligent-ticketing
Total : 116 files,  9394 codes, 174 comments, 1136 blanks, all 10704 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\api\client.ts                           | TypeScript         |         30 |          2 |          5 |         37 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\api\kb.ts                               | TypeScript         |         29 |          6 |          8 |         43 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\api\metrics.ts                          | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\api\tickets.ts                          | TypeScript         |         60 |          9 |         14 |         83 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\components\ConfidenceBar.tsx            | TypeScript JSX     |         24 |          0 |          5 |         29 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\components\EmptyState.tsx               | TypeScript JSX     |         41 |          0 |          3 |         44 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\components\ErrorMessage.tsx             | TypeScript JSX     |         33 |          0 |          3 |         36 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\components\Layout.tsx                   | TypeScript JSX     |         82 |          0 |          6 |         88 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\components\LoadingSpinner.tsx           | TypeScript JSX     |         12 |          0 |          3 |         15 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\components\ProtectedRoute.tsx           | TypeScript JSX     |         33 |          0 |          7 |         40 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\components\StatusBadge.tsx              | TypeScript JSX     |         14 |          0 |          4 |         18 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\config\constants.ts                     | TypeScript         |         30 |          0 |          7 |         37 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\context\AuthContext.tsx                 | TypeScript JSX     |         54 |          0 |          9 |         63 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\index.css                               | PostCSS            |         36 |          3 |          5 |         44 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\main.tsx                                | TypeScript JSX     |          9 |          0 |          2 |         11 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\pages\Dashboard.tsx                     | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\pages\Login.tsx                         | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\pages\TicketDetails.tsx                 | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\pages\Tickets.tsx                       | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\pages\admin\AdminDashboardPage.tsx      | TypeScript JSX     |        221 |          6 |         19 |        246 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\pages\admin\KBCreatePage.tsx            | TypeScript JSX     |        130 |          0 |         11 |        141 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\pages\admin\KBDetailPage.tsx            | TypeScript JSX     |        100 |          2 |         10 |        112 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\pages\admin\KBEditPage.tsx              | TypeScript JSX     |        146 |          0 |         13 |        159 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\pages\admin\KBListPage.tsx              | TypeScript JSX     |        133 |          3 |         10 |        146 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\pages\agent\AgentDashboardPage.tsx      | TypeScript JSX     |        221 |          3 |         17 |        241 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\pages\agent\AgentTicketDetailPage.tsx   | TypeScript JSX     |        225 |          7 |         16 |        248 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\pages\agent\AgentTicketsPage.tsx        | TypeScript JSX     |        140 |          3 |          8 |        151 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\pages\auth\LoginPage.tsx                | TypeScript JSX     |        103 |          1 |          8 |        112 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\pages\auth\ProfilePage.tsx              | TypeScript JSX     |         50 |          0 |          4 |         54 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\pages\auth\RegisterPage.tsx             | TypeScript JSX     |        104 |          0 |          9 |        113 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\pages\client\ClientTicketDetailPage.tsx | TypeScript JSX     |        227 |          8 |         16 |        251 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\pages\client\ClientTicketsPage.tsx      | TypeScript JSX     |        123 |          2 |          7 |        132 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\pages\client\CreateTicketPage.tsx       | TypeScript JSX     |        123 |          0 |         11 |        134 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\pages\public\LandingPage.tsx            | TypeScript JSX     |        515 |         16 |         24 |        555 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\src\types\index.ts                          | TypeScript         |         63 |          0 |         10 |         73 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\tailwind.config.js                          | JavaScript         |         10 |          0 |          1 |         11 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\tsconfig.json                               | JSON with Comments |         25 |          0 |          1 |         26 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\tsconfig.node.json                          | JSON               |         10 |          0 |          1 |         11 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\frontend\vite.config.ts                              | TypeScript         |         14 |          0 |          2 |         16 |
| Total                                                                                               |                    |      9,394 |        174 |      1,136 |     10,704 |
+-----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
